sentences,name
"Globant is an IT and Software Development company operating in Argentina, Colombia, Uruguay, the United Kingdom, Brazil, the United States, Peru, India, Mexico, Chile, Spain, Romania and Belarus",globant
"Lendlease Group is an Australian multinational construction, property and infrastructure company headquartered in Barangaroo, New South Wales, Australia.

",lendlease
"Aurecon  is an engineering, management, design, planning, project management, consulting and advisory company based in Australia, Middle East, New Zealand, South East Asia and South Africa.

",aurecon
"STRABAG SE is an Austrian construction company based in Spittal an der Drau, Austria, with its headquarters in Vienna",strabag
"In these markets STRABAG has subsidiaries or operates on a project-basis.

",strabag
"Novonor, previously Odebrecht S.A",odebrecht
"The company was founded in 1944 in Salvador, Bahia by Norberto Odebrecht, and is now present in the regions of the Americas, the Caribbean, Africa, Europe and the Middle East",odebrecht
Its leading company is Norberto Odebrecht Construtora.Odebrecht S.A,odebrecht
"is a holding company for Construtora Norberto Odebrecht S.A., the biggest engineering and contracting company in Latin America, and Braskem, the largest petrochemicals producer in Latin America and one of Brazil's five largest private-sector manufacturing companies",odebrecht
"Odebrecht controls Braskem, which by revenue is the fourth largest petrochemical company in the Americas and the seventeenth in the world.
The name Odebrecht has become shorthand for an unprecedented regional bribery scandal",odebrecht
"Between 2001-2016, Odebrecht paid USD $788 million in bribes across Latin America",odebrecht
Odebrecht has also  been central to the Operation Car Wash scandal,odebrecht
"On 19 June 2015, Brazilian authorities arrested the former CEO, Marcelo Odebrecht, in connection with their ongoing probe into bribes paid to the Brazilian oil giant, Petrobras",odebrecht
SNC-Lavalin Group Inc,snc-lavalin
"SNC-Lavalin is the largest construction company, by revenue, in Canada, as of 2018.The firm has over 50,000 employees worldwide, with offices in over 50 countries and operations in over 160 countries.",snc-lavalin
"Within formal logic, mathematical logic studies the mathematical characteristics of logical systems, while philosophical logic applies them to philosophical problems such as the nature of meaning, knowledge, and existence",logica
"SalfaCorp  is the largest and one of the most important Chilean companies in the sector of construction and real estate and is an international company with offices in Santiago, Chile; Buenos Aires, Argentina; Bogota, Colombia; Lima, Peru; Shanghai, China and Petaling Jaya, Malaysia.
SalfaCorp leads the industrial assembly and civil work market in Chile",salfacorp
"Property development is engaged in the execution of all related activities from the design and coordination of projects including construction, marketing and after sales.
Aconcagua Inmobiliaria is a corporation from SalfaCorp, it has projects from Antofagasta to Puerto Montt",salfacorp
"Pactera Technology International Ltd., (文思海辉技术有限公司) is an IT consulting and outsourcing company with corporate headquarters in Beijing, China, and regional headquarters in North America, Europe, and Asia Pacific",pactera
"Neusoft Corporation is a Chinese multinational provider of software engineering services, Information Technology services, product engineering services, IT education and medical equipment headquartered in Shenyang, China.
""Neusoft"" is an acronym of Northeastern University Software.
The company was founded in 1991 and, as of 2020, is the largest China-based company providing IT services and, as of 2012, the largest software outsourcing firm in China.
Neusoft has subsidiaries in United States (Livonia, Michigan, Santa Clara, California, Morrisville, North Carolina), Japan (Tokyo), Switzerland (Appenzell), Germany (Hamburg, Munich) and Romania (Cluj-Napoca).

",neusoft
"The website is owned by Trip.com Group (formerly Ctrip.com International, Ltd",ctrip.com
Capgemini SE is a French multinational information technology (IT) services and consulting company,capgemini
"Capgemini has over 270,000 employees in over 50 countries, of whom nearly 125,000 are in India.",capgemini
"Atos is a French multinational information technology (IT) service and consulting company headquartered in Bezons, France and offices worldwide",atos
"Atos operates worldwide under the brands Atos, Atos|Syntel, Atos Consulting, Atos Healthcare, Atos Worldgrid, Groupe Bull, Canopy and Unify.

",atos
"Sopra Steria is a Paris-based consulting, digital services, and software development company.",sopra steria
"Orange Business Services, the business services arm of Orange S.A., is a global integrator of communications products and services for multinational corporations.It offers integrated communications products and services to global enterprises in cloud computing, unified communications, collaboration, Big Data, Internet of things and Artificial Intelligence ; which manage and integrate the complexity of international communications and software applications.Orange Business Services was founded on 1 June 2006, through a rebranding and consolidation of the existing France Telecom businesses of Equant and Wanadoo",orange business services
