sentences,name,clean_sentence
"Globant is an IT and Software Development company operating in Argentina, Colombia, Uruguay, the United Kingdom, Brazil, the United States, Peru, India, Mexico, Chile, Spain, Romania and Belarus",globant,"$COMPANY is an IT and Software Development company operating in Argentina, Colombia, Uruguay, the United Kingdom, Brazil, the United States, Peru, India, Mexico, Chile, Spain, Romania and Belarus"
"Lendlease Group is an Australian multinational construction, property and infrastructure company headquartered in Barangaroo, New South Wales, Australia.

",lendlease,"$COMPANY Group is an Australian multinational construction, property and infrastructure company headquartered in Barangaroo, New South Wales, Australia.

"
"Aurecon  is an engineering, management, design, planning, project management, consulting and advisory company based in Australia, Middle East, New Zealand, South East Asia and South Africa.

",aurecon,"$COMPANY  is an engineering, management, design, planning, project management, consulting and advisory company based in Australia, Middle East, New Zealand, South East Asia and South Africa.

"
"STRABAG SE is an Austrian construction company based in Spittal an der Drau, Austria, with its headquarters in Vienna",strabag,"$COMPANY SE is an Austrian construction company based in Spittal an der Drau, Austria, with its headquarters in Vienna"
"In these markets STRABAG has subsidiaries or operates on a project-basis.

",strabag,"In these markets $COMPANY has subsidiaries or operates on a project-basis.

"
"Novonor, previously Odebrecht S.A",odebrecht,"Novonor, previously $COMPANY S.A"
"The company was founded in 1944 in Salvador, Bahia by Norberto Odebrecht, and is now present in the regions of the Americas, the Caribbean, Africa, Europe and the Middle East",odebrecht,"The company was founded in 1944 in Salvador, Bahia by Norberto $COMPANY, and is now present in the regions of the Americas, the Caribbean, Africa, Europe and the Middle East"
Its leading company is Norberto Odebrecht Construtora.Odebrecht S.A,odebrecht,Its leading company is Norberto $COMPANY Construtora.Odebrecht S.A
"is a holding company for Construtora Norberto Odebrecht S.A., the biggest engineering and contracting company in Latin America, and Braskem, the largest petrochemicals producer in Latin America and one of Brazil's five largest private-sector manufacturing companies",odebrecht,"is a holding company for Construtora Norberto $COMPANY S.A., the biggest engineering and contracting company in Latin America, and Braskem, the largest petrochemicals producer in Latin America and one of Brazil's five largest private-sector manufacturing companies"
"Odebrecht controls Braskem, which by revenue is the fourth largest petrochemical company in the Americas and the seventeenth in the world.
The name Odebrecht has become shorthand for an unprecedented regional bribery scandal",odebrecht,"$COMPANY controls Braskem, which by revenue is the fourth largest petrochemical company in the Americas and the seventeenth in the world.
The name Odebrecht has become shorthand for an unprecedented regional bribery scandal"
"Between 2001-2016, Odebrecht paid USD $788 million in bribes across Latin America",odebrecht,"Between 2001-2016, $COMPANY paid USD $788 million in bribes across Latin America"
Odebrecht has also  been central to the Operation Car Wash scandal,odebrecht,$COMPANY has also  been central to the Operation Car Wash scandal
"On 19 June 2015, Brazilian authorities arrested the former CEO, Marcelo Odebrecht, in connection with their ongoing probe into bribes paid to the Brazilian oil giant, Petrobras",odebrecht,"On 19 June 2015, Brazilian authorities arrested the former CEO, Marcelo $COMPANY, in connection with their ongoing probe into bribes paid to the Brazilian oil giant, Petrobras"
SNC-Lavalin Group Inc,snc-lavalin,$COMPANY Group Inc
"SNC-Lavalin is the largest construction company, by revenue, in Canada, as of 2018.The firm has over 50,000 employees worldwide, with offices in over 50 countries and operations in over 160 countries.",snc-lavalin,"$COMPANY is the largest construction company, by revenue, in Canada, as of 2018.The firm has over 50,000 employees worldwide, with offices in over 50 countries and operations in over 160 countries."
"Within formal logic, mathematical logic studies the mathematical characteristics of logical systems, while philosophical logic applies them to philosophical problems such as the nature of meaning, knowledge, and existence",logica,"Within formal logic, mathematical logic studies the mathematical characteristics of $COMPANYl systems, while philosophical logic applies them to philosophical problems such as the nature of meaning, knowledge, and existence"
"SalfaCorp  is the largest and one of the most important Chilean companies in the sector of construction and real estate and is an international company with offices in Santiago, Chile; Buenos Aires, Argentina; Bogota, Colombia; Lima, Peru; Shanghai, China and Petaling Jaya, Malaysia.
SalfaCorp leads the industrial assembly and civil work market in Chile",salfacorp,"$COMPANY  is the largest and one of the most important Chilean companies in the sector of construction and real estate and is an international company with offices in Santiago, Chile; Buenos Aires, Argentina; Bogota, Colombia; Lima, Peru; Shanghai, China and Petaling Jaya, Malaysia.
SalfaCorp leads the industrial assembly and civil work market in Chile"
"Property development is engaged in the execution of all related activities from the design and coordination of projects including construction, marketing and after sales.
Aconcagua Inmobiliaria is a corporation from SalfaCorp, it has projects from Antofagasta to Puerto Montt",salfacorp,"Property development is engaged in the execution of all related activities from the design and coordination of projects including construction, marketing and after sales.
Aconcagua Inmobiliaria is a corporation from $COMPANY, it has projects from Antofagasta to Puerto Montt"
"Pactera Technology International Ltd., (文思海辉技术有限公司) is an IT consulting and outsourcing company with corporate headquarters in Beijing, China, and regional headquarters in North America, Europe, and Asia Pacific",pactera,"$COMPANY Technology International Ltd., (文思海辉技术有限公司) is an IT consulting and outsourcing company with corporate headquarters in Beijing, China, and regional headquarters in North America, Europe, and Asia Pacific"
